name,japanese_name,abilities,type1,against_bug,against_dark,against_dragon,against_electric,against_fairy,against_fight,against_fire,against_flying,against_ghost,against_grass,against_ground,against_ice,against_normal,against_poison,against_psychic,against_rock,against_steel,against_water,attack,base_egg_steps,base_happiness,base_total,capture_rate,defense,experience_growth,height_m,hp,percentage_male,pokedex_number,sp_attack,sp_defense,speed,weight_kg,generation,is_legendary
Butterfree,Butterfreeバタフリー,"['Compoundeyes', 'Tinted Lens']",bug,0.5,1,1,2,1,0.25,2,2,1,0.25,0,2,1,1,1,4,1,1,45,3840,70,395,45,50,1000000,1.1,60,50,12,90,80,70,32,1,0
Weedle,Beedleビードル,"['Shield Dust', 'Run Away']",bug,0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1,35,3840,70,195,255,30,1000000,0.3,40,50,13,20,20,50,3.2,1,0
Kakuna,Cocoonコクーン,['Shed Skin'],bug,0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1,25,3840,70,205,120,50,1000000,0.6,45,50,14,25,25,35,10,1,0
Beedrill,Spearスピアー,"['Swarm', 'Sniper']",bug,0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1,150,3840,70,495,45,40,1000000,1,65,50,15,15,80,145,29.5,1,0
Pidgey,Poppoポッポ,"['Keen Eye', 'Tangled Feet', 'Big Pecks']",normal,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,45,3840,70,251,255,40,1059860,0.3,40,50,16,35,35,56,1.8,1,0
Pidgeotto,Pigeonピジョン,"['Keen Eye', 'Tangled Feet', 'Big Pecks']",normal,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,60,3840,70,349,120,55,1059860,1.1,63,50,17,50,50,71,30,1,0
Pidgeot,Pigeotピジョット,"['Keen Eye', 'Tangled Feet', 'Big Pecks']",normal,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,80,3840,70,579,45,80,1059860,1.5,83,50,18,135,80,121,39.5,1,0
Rattata,Korattaコラッタ,"['Run Away', 'Guts', 'Hustle', 'Gluttony', 'Hustle', 'Thick Fat']",normal,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,56,3840,70,253,255,35,1000000,NA,30,50,19,25,35,72,NA,1,0
Raticate,Rattaラッタ,"['Run Away', 'Guts', 'Hustle', 'Gluttony', 'Hustle', 'Thick Fat']",normal,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,71,3840,70,413,127,70,1000000,NA,75,50,20,40,80,77,NA,1,0
Spearow,Onisuzumeオニスズメ,"['Keen Eye', 'Sniper']",normal,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,60,3840,70,262,255,30,1000000,0.3,40,50,21,31,31,70,2,1,0
Fearow,Onidrillオニドリル,"['Keen Eye', 'Sniper']",normal,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,90,3840,70,442,90,65,1000000,1.2,65,50,22,61,61,100,38,1,0
Ekans,Arboアーボ,"['Intimidate', 'Shed Skin', 'Unnerve']",poison,0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,60,5120,70,288,255,44,1000000,2,35,50,23,40,54,55,6.9,1,0
Arbok,Arbokアーボック,"['Intimidate', 'Shed Skin', 'Unnerve']",poison,0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,95,5120,70,448,90,69,1000000,3.5,60,50,24,65,79,80,65,1,0
Pikachu,Pikachuピカチュウ,"['Static', 'Lightningrod']",electric,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,55,2560,70,320,190,40,1000000,0.4,35,50,25,50,50,90,6,1,0
Raichu,Raichuライチュウ,"['Static', 'Lightningrod', 'Surge Surfer']",electric,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,85,2560,70,485,75,50,1000000,NA,60,50,26,95,85,110,NA,1,0
Sandshrew,Sandサンド,"['Sand Veil', 'Sand Rush', 'Snow Cloak', 'Slush Rush']",ground,1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2,75,5120,70,300,255,90,1000000,NA,50,50,27,10,35,40,NA,1,0
Sandslash,Sandpanサンドパン,"['Sand Veil', 'Sand Rush', 'Snow Cloak', 'Slush Rush']",ground,1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2,100,5120,70,450,90,120,1000000,NA,75,50,28,25,65,65,NA,1,0
Nidoran♀,Nidoran?ニドラン♀,"['Poison Point', 'Rivalry', 'Hustle']",poison,0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,47,5120,70,275,235,52,1059860,0.4,55,0,29,40,40,41,7,1,0
Nidorina,Nidorinaニドリーナ,"['Poison Point', 'Rivalry', 'Hustle']",poison,0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,62,5120,70,365,120,67,1059860,0.8,70,0,30,55,55,56,20,1,0
Nidoqueen,Nidoqueenニドクイン,"['Poison Point', 'Rivalry', 'Sheer Force']",poison,0.5,1,1,0,0.5,0.5,1,1,1,1,2,2,1,0.25,2,0.5,1,2,92,5120,70,505,45,87,1059860,1.3,90,0,31,75,85,76,60,1,0
Nidoran♂,Nidoran?ニドラン♂,"['Poison Point', 'Rivalry', 'Hustle']",poison,0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,57,5120,70,273,235,40,1059860,0.5,46,100,32,40,40,50,9,1,0
Nidorino,Nidorinoニドリーノ,"['Poison Point', 'Rivalry', 'Hustle']",poison,0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,72,5120,70,365,120,57,1059860,0.9,61,100,33,55,55,65,19.5,1,0
Nidoking,Nidokingニドキング,"['Poison Point', 'Rivalry', 'Sheer Force']",poison,0.5,1,1,0,0.5,0.5,1,1,1,1,2,2,1,0.25,2,0.5,1,2,102,5120,70,505,45,77,1059860,1.4,81,100,34,85,75,85,62,1,0
Clefairy,Pippiピッピ,"['Cute Charm', 'Magic Guard', 'Friend Guard']",fairy,0.5,0.5,0,1,1,0.5,1,1,1,1,1,1,1,2,1,1,2,1,45,2560,140,323,150,48,800000,0.6,70,24.6,35,60,65,35,7.5,1,0
Clefable,Pixyピクシー,"['Cute Charm', 'Magic Guard', 'Unaware']",fairy,0.5,0.5,0,1,1,0.5,1,1,1,1,1,1,1,2,1,1,2,1,70,2560,140,483,25,73,800000,1.3,95,24.6,36,95,90,60,40,1,0
Vulpix,Rokonロコン,"['Flash Fire', 'Drought', 'Snow Cloak', 'Snow Warning']",fire,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,41,5120,70,299,190,40,1000000,NA,38,24.6,37,50,65,65,NA,1,0
Ninetales,Kyukonキュウコン,"['Flash Fire', 'Drought', 'Snow Cloak', 'Snow Warning']",fire,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,67,5120,70,505,75,75,1000000,NA,73,24.6,38,81,100,109,NA,1,0
Jigglypuff,Purinプリン,"['Cute Charm', 'Competitive', 'Friend Guard']",normal,0.5,0.5,0,1,1,1,1,1,0,1,1,1,1,2,1,1,2,1,45,2560,70,270,170,20,800000,0.5,115,24.6,39,45,25,20,5.5,1,0
Wigglytuff,Pukurinプクリン,"['Cute Charm', 'Competitive', 'Frisk']",normal,0.5,0.5,0,1,1,1,1,1,0,1,1,1,1,2,1,1,2,1,70,2560,70,435,50,45,800000,1,140,24.6,40,85,50,45,12,1,0
Zubat,Zubatズバット,"['Inner Focus', 'Infiltrator']",poison,0.25,1,1,2,0.5,0.25,1,1,1,0.25,0,2,1,0.5,2,2,1,1,45,3840,70,245,255,35,1000000,0.8,40,50,41,30,40,55,7.5,1,0
Golbat,Golbatゴルバット,"['Inner Focus', 'Infiltrator']",poison,0.25,1,1,2,0.5,0.25,1,1,1,0.25,0,2,1,0.5,2,2,1,1,80,3840,70,455,90,70,1000000,1.6,75,50,42,65,75,90,55,1,0
Oddish,Nazonokusaナゾノクサ,"['Chlorophyll', 'Run Away']",grass,1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,50,5120,70,320,255,55,1059860,0.5,45,50,43,75,65,30,5.4,1,0
Gloom,Kusaihanaクサイハナ,"['Chlorophyll', 'Stench']",grass,1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,65,5120,70,395,120,70,1059860,0.8,60,50,44,85,75,40,8.6,1,0
Vileplume,Ruffresiaラフレシア,"['Chlorophyll', 'Effect Spore']",grass,1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,80,5120,70,490,45,85,1059860,1.2,75,50,45,110,90,50,18.6,1,0
Paras,Parasパラス,"['Effect Spore', 'Dry Skin', 'Damp']",bug,2,1,1,0.5,1,0.5,4,4,1,0.25,0.25,2,1,2,1,2,1,0.5,70,5120,70,285,190,55,1000000,0.3,35,50,46,45,55,25,5.4,1,0
Parasect,Parasectパラセクト,"['Effect Spore', 'Dry Skin', 'Damp']",bug,2,1,1,0.5,1,0.5,4,4,1,0.25,0.25,2,1,2,1,2,1,0.5,95,5120,70,405,75,80,1000000,1,60,50,47,60,80,30,29.5,1,0
Venonat,Kongpangコンパン,"['Compoundeyes', 'Tinted Lens', 'Run Away']",bug,0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1,55,5120,70,305,190,50,1000000,1,60,50,48,40,55,45,30,1,0
Venomoth,Morphonモルフォン,"['Shield Dust', 'Tinted Lens', 'Wonder Skin ']",bug,0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1,65,5120,70,450,75,60,1000000,1.5,70,50,49,90,75,90,12.5,1,0
Diglett,Digdaディグダ,"['Sand Veil', 'Arena Trap', 'Sand Force', 'Sand Veil', 'Tangling Hair', 'Sand Force']",ground,1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2,55,5120,70,265,255,30,1000000,NA,10,50,50,35,45,90,NA,1,0
Dugtrio,Dugtrioダグトリオ,"['Sand Veil', 'Arena Trap', 'Sand Force', 'Sand Veil', 'Tangling Hair', 'Sand Force']",ground,1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2,100,5120,70,425,50,60,1000000,NA,35,50,51,50,70,110,NA,1,0
Meowth,Nyarthニャース,"['Pickup', 'Technician', 'Unnerve', 'Pickup', 'Technician', 'Rattled']",normal,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,35,5120,70,290,255,35,1000000,NA,40,50,52,50,40,90,NA,1,0
Persian,Persianペルシアン,"['Limber', 'Technician', 'Unnerve', 'Fur Coat', 'Technician', 'Rattled']",normal,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,60,5120,70,440,90,60,1000000,NA,65,50,53,75,65,115,NA,1,0
Psyduck,Koduckコダック,"['Damp', 'Cloud Nine', 'Swift Swim']",water,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,52,5120,70,320,190,48,1000000,0.8,50,50,54,65,50,55,19.6,1,0
Golduck,Golduckゴルダック,"['Damp', 'Cloud Nine', 'Swift Swim']",water,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,82,5120,70,500,75,78,1000000,1.7,80,50,55,95,80,85,76.6,1,0
Mankey,Mankeyマンキー,"['Vital Spirit', 'Anger Point', 'Defiant']",fighting,0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,80,5120,70,305,190,35,1000000,0.5,40,50,56,35,45,70,28,1,0
Primeape,Okorizaruオコリザル,"['Vital Spirit', 'Anger Point', 'Defiant']",fighting,0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,105,5120,70,455,75,60,1000000,1,65,50,57,60,70,95,32,1,0
Growlithe,Gardieガーディ,"['Intimidate', 'Flash Fire', 'Justified']",fire,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,70,5120,70,350,190,45,1250000,0.7,55,75.4,58,70,50,60,19,1,0
Arcanine,Windieウインディ,"['Intimidate', 'Flash Fire', 'Justified']",fire,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,110,5120,70,555,75,80,1250000,1.9,90,75.4,59,100,80,95,155,1,0
Poliwag,Nyoromoニョロモ,"['Water Absorb', 'Damp', 'Swift Swim']",water,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,50,5120,70,300,255,40,1059860,0.6,40,50,60,40,40,90,12.4,1,0
Poliwhirl,Nyorozoニョロゾ,"['Water Absorb', 'Damp', 'Swift Swim']",water,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,65,5120,70,385,120,65,1059860,1,65,50,61,50,50,90,20,1,0
Poliwrath,Nyorobonニョロボン,"['Water Absorb', 'Damp', 'Swift Swim']",water,0.5,0.5,1,2,2,1,0.5,2,1,2,1,0.5,1,1,2,0.5,0.5,0.5,95,5120,70,510,45,95,1059860,1.3,90,50,62,70,90,70,54,1,0
Abra,Caseyケーシィ,"['Synchronize', 'Inner Focus', 'Magic Guard']",psychic,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,20,5120,70,310,200,15,1059860,0.9,25,75.4,63,105,55,90,19.5,1,0
Kadabra,Yungererユンゲラー,"['Synchronize', 'Inner Focus', 'Magic Guard']",psychic,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,35,5120,70,400,100,30,1059860,1.3,40,75.4,64,120,70,105,56.5,1,0
Alakazam,Foodinフーディン,"['Synchronize', 'Inner Focus', 'Magic Guard']",psychic,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,50,5120,70,600,50,65,1059860,1.5,55,75.4,65,175,105,150,48,1,0
Machop,Wanrikyワンリキー,"['Guts', 'No Guard', 'Steadfast']",fighting,0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,80,5120,70,305,180,50,1059860,0.8,70,75.4,66,35,35,35,19.5,1,0
Machoke,Gorikyゴーリキー,"['Guts', 'No Guard', 'Steadfast']",fighting,0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,100,5120,70,405,90,70,1059860,1.5,80,75.4,67,50,60,45,70.5,1,0
Machamp,Kairikyカイリキー,"['Guts', 'No Guard', 'Steadfast']",fighting,0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,130,5120,70,505,45,80,1059860,1.6,90,75.4,68,65,85,55,130,1,0
Bellsprout,Madatsubomiマダツボミ,"['Chlorophyll', 'Gluttony']",grass,1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,75,5120,70,300,255,35,1059860,0.7,50,50,69,70,30,40,4,1,0
Weepinbell,Utsudonウツドン,"['Chlorophyll', 'Gluttony']",grass,1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,90,5120,70,390,120,50,1059860,1,65,50,70,85,45,55,6.4,1,0
Victreebel,Utsubotウツボット,"['Chlorophyll', 'Gluttony']",grass,1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,105,5120,70,490,45,65,1059860,1.7,80,50,71,100,70,70,15.5,1,0
Tentacool,Menokurageメノクラゲ,"['Clear Body', 'Liquid Ooze', 'Rain Dish']",water,0.5,1,1,2,0.5,0.5,0.5,1,1,1,2,0.5,1,0.5,2,1,0.5,0.5,40,5120,70,335,190,35,1250000,0.9,40,50,72,50,100,70,45.5,1,0
Tentacruel,Dokukurageドククラゲ,"['Clear Body', 'Liquid Ooze', 'Rain Dish']",water,0.5,1,1,2,0.5,0.5,0.5,1,1,1,2,0.5,1,0.5,2,1,0.5,0.5,70,5120,70,515,60,65,1250000,1.6,80,50,73,80,120,100,55,1,0
Geodude,Isitsubuteイシツブテ,"['Rock Head', 'Sturdy', 'Sand Veil', 'Magnet Pull', 'Sturdy', 'Galvanize']",rock,1,1,1,0,1,2,0.5,0.5,1,4,2,2,0.5,0.25,1,0.5,2,4,80,3840,70,300,255,100,1059860,NA,40,50,74,30,30,20,NA,1,0
Graveler,Goloneゴローン,"['Rock Head', 'Sturdy', 'Sand Veil', 'Magnet Pull', 'Sturdy', 'Galvanize']",rock,1,1,1,0,1,2,0.5,0.5,1,4,2,2,0.5,0.25,1,0.5,2,4,95,3840,70,390,120,115,1059860,NA,55,50,75,45,45,35,NA,1,0
Golem,Golonyaゴローニャ,"['Rock Head', 'Sturdy', 'Sand Veil', 'Magnet Pull', 'Sturdy', 'Galvanize']",rock,1,1,1,0,1,2,0.5,0.5,1,4,2,2,0.5,0.25,1,0.5,2,4,120,3840,70,495,45,130,1059860,NA,80,50,76,55,65,45,NA,1,0
Ponyta,Ponytaポニータ,"['Run Away', 'Flash Fire', 'Flame Body']",fire,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,85,5120,70,410,190,55,1000000,1,50,50,77,65,65,90,30,1,0
Rapidash,Gallopギャロップ,"['Run Away', 'Flash Fire', 'Flame Body']",fire,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,100,5120,70,500,60,70,1000000,1.7,65,50,78,80,80,105,95,1,0
Slowpoke,Yadonヤドン,"['Oblivious', 'Own Tempo', 'Regenerator']",water,2,2,1,2,1,0.5,0.5,1,2,2,1,0.5,1,1,0.5,1,0.5,0.5,65,5120,70,315,190,65,1000000,1.2,90,50,79,40,40,15,36,1,0
Slowbro,Yadoranヤドラン,"['Oblivious', 'Own Tempo', 'Regenerator']",water,2,2,1,2,1,0.5,0.5,1,2,2,1,0.5,1,1,0.5,1,0.5,0.5,75,5120,70,590,75,180,1000000,1.6,95,50,80,130,80,30,78.5,1,0
Magnemite,Coilコイル,"['Magnet Pull', 'Sturdy', 'Analytic']",electric,0.5,1,0.5,0.5,0.5,2,2,0.25,1,0.5,4,0.5,0.5,0,0.5,0.5,0.25,1,35,5120,70,325,190,70,1000000,0.3,25,NA,81,95,55,45,6,1,0
Magneton,Rarecoilレアコイル,"['Magnet Pull', 'Sturdy', 'Analytic']",electric,0.5,1,0.5,0.5,0.5,2,2,0.25,1,0.5,4,0.5,0.5,0,0.5,0.5,0.25,1,60,5120,70,465,60,95,1000000,1,50,NA,82,120,70,70,60,1,0
Farfetch'd,Kamonegiカモネギ,"['Keen Eye', 'Inner Focus', 'Defiant']",normal,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,90,5120,70,377,45,55,1000000,0.8,52,50,83,58,62,60,15,1,0
Doduo,Dodoドードー,"['Run Away', 'Early Bird', 'Tangled Feet']",normal,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,85,5120,70,310,190,45,1000000,1.4,35,50,84,35,35,75,39.2,1,0
Dodrio,Dodorioドードリオ,"['Run Away', 'Early Bird', 'Tangled Feet']",normal,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,110,5120,70,470,45,70,1000000,1.8,60,50,85,60,60,110,85.2,1,0
Seel,Pawouパウワウ,"['Thick Fat', 'Hydration', 'Ice Body']",water,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,45,5120,70,325,190,55,1000000,1.1,65,50,86,45,70,45,90,1,0
Dewgong,Jugonジュゴン,"['Thick Fat', 'Hydration', 'Ice Body']",water,1,1,1,2,1,2,1,1,1,2,1,0.25,1,1,1,2,1,0.5,70,5120,70,475,75,80,1000000,1.7,90,50,87,70,95,70,120,1,0
Grimer,Betbeterベトベター,"['Stench', 'Sticky Hold', 'Poison Touch', 'Poison Touch', 'Gluttony', 'Power of Alchemy']",poison,0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,80,5120,70,325,190,50,1000000,NA,80,50,88,40,50,25,NA,1,0
Muk,Betbetonベトベトン,"['Stench', 'Sticky Hold', 'Poison Touch', 'Poison Touch', 'Gluttony', 'Power of Alchemy']",poison,0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,105,5120,70,500,75,75,1000000,NA,105,50,89,65,100,50,NA,1,0
Shellder,Shellderシェルダー,"['Shell Armor', 'Skill Link', 'Overcoat']",water,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,65,5120,70,305,190,100,1250000,0.3,30,50,90,45,25,40,4,1,0
Cloyster,Parshenパルシェン,"['Shell Armor', 'Skill Link', 'Overcoat']",water,1,1,1,2,1,2,1,1,1,2,1,0.25,1,1,1,2,1,0.5,95,5120,70,525,60,180,1250000,1.5,50,50,91,85,45,70,132.5,1,0
Gastly,Ghosゴース,['Levitate'],ghost,0.25,2,1,1,0.5,0,1,1,2,0.5,2,1,0,0.25,2,1,1,1,35,5120,70,310,190,30,1059860,1.3,30,50,92,100,35,80,0.1,1,0
Haunter,Ghostゴースト,['Levitate'],ghost,0.25,2,1,1,0.5,0,1,1,2,0.5,2,1,0,0.25,2,1,1,1,50,5120,70,405,90,45,1059860,1.6,45,50,93,115,55,95,0.1,1,0
Gengar,Gangarゲンガー,['Cursed Body'],ghost,0.25,2,1,1,0.5,0,1,1,2,0.5,2,1,0,0.25,2,1,1,1,65,5120,70,600,45,80,1059860,1.5,60,50,94,170,95,130,40.5,1,0
Onix,Iwarkイワーク,"['Rock Head', 'Sturdy', 'Weak Armor']",rock,1,1,1,0,1,2,0.5,0.5,1,4,2,2,0.5,0.25,1,0.5,2,4,45,6400,70,385,45,160,1000000,8.8,35,50,95,30,45,70,210,1,0
Drowzee,Sleepeスリープ,"['Insomnia', 'Forewarn', 'Inner Focus']",psychic,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,48,5120,70,328,190,45,1000000,1,60,50,96,43,90,42,32.4,1,0
Hypno,Sleeperスリーパー,"['Insomnia', 'Forewarn', 'Inner Focus']",psychic,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,73,5120,70,483,75,70,1000000,1.6,85,50,97,73,115,67,75.6,1,0
Krabby,Crabクラブ,"['Hyper Cutter', 'Shell Armor', 'Sheer Force']",water,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,105,5120,70,325,225,90,1000000,0.4,30,50,98,25,25,50,6.5,1,0
Kingler,Kinglerキングラー,"['Hyper Cutter', 'Shell Armor', 'Sheer Force']",water,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,130,5120,70,475,60,115,1000000,1.3,55,50,99,50,50,75,60,1,0
Voltorb,Biriridamaビリリダマ,"['Soundproof', 'Static', 'Aftermath']",electric,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,30,5120,70,330,190,50,1000000,0.5,40,NA,100,55,55,100,10.4,1,0
Electrode,Marumineマルマイン,"['Soundproof', 'Static', 'Aftermath']",electric,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,50,5120,70,490,60,70,1000000,1.2,60,NA,101,80,80,150,66.6,1,0
Exeggcute,Tamatamaタマタマ,"['Chlorophyll', 'Harvest']",grass,4,2,1,0.5,1,0.5,2,2,2,0.5,0.5,2,1,2,0.5,1,1,0.5,40,5120,70,325,90,80,1250000,0.4,60,50,102,60,45,40,2.5,1,0
Exeggutor,Nassyナッシー,"['Chlorophyll', 'Harvest', 'Frisk', 'Harvest']",grass,4,2,1,0.5,1,0.5,2,2,2,0.5,0.5,2,1,2,0.5,1,1,0.5,105,5120,70,530,45,85,1250000,NA,95,50,103,125,75,45,NA,1,0
Cubone,Karakaraカラカラ,"['Rock Head', 'Lightningrod', 'Battle Armor']",ground,1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2,50,5120,70,320,190,95,1000000,0.4,50,50,104,40,50,35,6.5,1,0
